시도,연도,합계,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024
시도,연도,합계,합계,승용차,승합차,화물차,특수차,합계,승용차,승합차,화물차,특수차,합계,승용차,승합차,화물차,특수차,합계,승용차,승합차,화물차,특수차,합계,승용차,승합차,화물차,특수차
합계,사고[건],"848,951","175,581","136,878","10,463","27,063","1,177","169,672","132,440","9,923","26,081","1,228","165,754","129,709","10,664","24,233","1,148","169,359","131,921","11,815","24,409","1,214","168,585","130,774","12,146","24,464","1,201"
합계,사망[명],"10,481","2,334","1,410",165,721,38,"2,220","1,348",146,687,39,"2,011","1,199",144,630,38,"1,962","1,200",136,595,31,"1,954","1,202",129,594,29
합계,부상[명],"1,250,099","263,966","206,840","15,737","39,655","1,734","250,095","195,686","14,510","38,052","1,847","243,537","191,189","15,711","34,922","1,715","248,210","193,379","18,162","34,848","1,821","244,291","189,792","17,911","34,728","1,860"
합계,(중상자[명]),"227,542","50,650","37,716","3,567","8,981",386,"46,256","34,530","3,280","8,067",379,"42,654","31,819","3,278","7,244",313,"44,506","33,038","3,676","7,456",336,"43,476","32,315","3,735","7,080",346
서울,사고[건],"135,037","27,219","22,104","2,091","2,951",73,"26,176","21,199","2,086","2,819",72,"26,824","21,506","2,441","2,819",58,"27,511","21,939","2,698","2,809",65,"27,307","21,520","2,854","2,855",78
서울,사망[명],753,142,86,23,32,1,172,100,23,48,1,150,105,16,28,1,135,84,18,33,0,154,102,26,26,0
서울,부상[명],"185,491","37,787","31,024","2,805","3,863",95,"35,889","29,287","2,797","3,711",94,"37,080","30,093","3,208","3,688",91,"37,832","30,412","3,700","3,620",100,"36,903","29,345","3,868","3,587",103
서울,(중상자[명]),"31,165","6,752","5,267",641,823,21,"6,210","4,849",572,772,17,"6,002","4,674",628,683,17,"6,209","4,753",689,752,15,"5,992","4,540",762,671,19
부산,사고[건],"47,241","9,822","7,764",589,"1,342",127,"9,348","7,362",527,"1,318",141,"9,061","7,116",574,"1,243",128,"9,393","7,260",680,"1,307",146,"9,617","7,552",640,"1,288",137
부산,사망[명],381,75,51,7,14,3,82,51,10,20,1,77,43,10,23,1,69,32,7,28,2,78,47,8,22,1
부산,부상[명],"65,355","13,758","10,925",816,"1,855",162,"12,990","10,307",734,"1,747",202,"12,535","9,930",744,"1,679",182,"12,963","10,046",967,"1,726",224,"13,109","10,398",838,"1,679",194
부산,(중상자[명]),"14,432","3,217","2,431",257,489,40,"2,856","2,199",231,395,31,"2,783","2,061",235,447,40,"2,742","2,029",245,419,49,"2,834","2,150",224,421,39
대구,사고[건],"46,757","10,347","8,570",396,"1,343",38,"9,855","8,102",400,"1,311",42,"9,056","7,481",440,"1,111",24,"8,989","7,434",405,"1,110",40,"8,510","6,965",438,"1,068",39
대구,사망[명],339,85,61,5,19,0,64,47,5,12,0,51,39,1,10,1,71,48,5,17,1,68,40,4,23,1
대구,부상[명],"68,249","15,654","13,070",560,"1,969",55,"14,322","11,805",560,"1,895",62,"13,153","10,957",633,"1,525",38,"13,056","10,910",559,"1,532",55,"12,064","9,993",567,"1,451",53
대구,(중상자[명]),"11,304","2,576","2,058",125,384,9,"2,357","1,852",121,371,13,"2,148","1,728",145,264,11,"2,182","1,732",130,312,8,"2,041","1,649",128,256,8
